,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory(in GB),Gpu,OpSys,Weight,Price
39,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256 SSD,Intel UHD Graphics 620,Windows 10,2.2kg,36336.96
40,Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,1000 HDD,Nvidia GeForce 150MX,Windows 10,2.77kg,53226.72
41,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256 SSD,Intel Iris Graphics 540,macOS,1.37kg,75604.32
42,Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128 SSD,Intel HD Graphics 520,No OS,2.2kg,19660.32
43,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256 SSD,AMD Radeon R5 M430,Windows 10,2.3kg,34045.92
44,Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1000 HDD,Nvidia GeForce 920MX,Windows 10,2.8kg,24828.48
45,Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,64 Flash Storage,Intel HD Graphics 400,Android,0.69kg,16996.32
46,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Nvidia GeForce MX150,Windows 10,2.2kg,44808.48
47,HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256 SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg,21231.5472
48,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.49kg,58767.84
49,Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.4kg,20459.52
50,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,AMD Radeon 520,Windows 10,2.13kg,40908.384
51,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128 SSD,Intel HD Graphics 520,Windows 10,1.91kg,23389.92
52,Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256 SSD,Intel HD Graphics 620,Windows 10,2kg,31232.2032
53,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256 SSD,Intel HD Graphics 520,Linux,2kg,22111.2
54,Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.7kg,46833.12
55,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,No OS,1.7kg,31914.72
56,Asus,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.4kg,50136.48
57,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.86kg,36763.2
58,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512 SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8kg,105654.24
59,HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500 HDD,AMD Radeon 520,Windows 10,1.86kg,23373.4032
60,HP,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32 SSD,Intel HD Graphics 400,Windows 10,1.44kg,12201.12
61,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1000 HDD,Intel HD Graphics 620,Windows 10,1.9kg,29250.72
62,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1000 HDD,Nvidia GeForce GTX 1050 Ti,Linux,3kg,50562.72
63,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,128 SSD,Intel HD Graphics 620,Windows 10 S,1.252kg,58021.92
64,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,AMD Radeon 530,Windows 10,1.4kg,50882.4
65,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,AMD Radeon 530,Windows 10,2.2kg,46353.6
66,Acer,Notebook,14,1366x768,Intel Core i3 6006U 2GHz,8GB,1000 HDD,Intel HD Graphics 520,Windows 10,2.1kg,20725.92
67,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,50562.72
68,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,2000 HDD,Intel HD Graphics 620,No OS,2.2kg,27652.32
69,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1000 HDD,Nvidia GeForce MX130,Windows 10,2.2kg,28238.4
70,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.88kg,58403.4048
71,Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512 SSD,Intel HD Graphics 615,macOS,0.92kg,80452.8
72,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.63kg,45820.8
73,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128 SSD,AMD R4 Graphics,Windows 10,2.2kg,21258.72
74,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1000 HDD,AMD Radeon R5,Windows 10,2.1kg,21045.6
75,HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83kg,37242.72
76,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.96kg,31914.1872
77,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.21kg,87858.72
78,Asus,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8GB,1000 HDD,AMD Radeon RX 560,Windows 10,2.45kg,37242.72
79,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1000 HDD,Nvidia GeForce MX150,Windows 10,2.2kg,36709.92
80,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.49kg,63776.16
81,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256 SSD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,63669.6
82,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.25kg,55890.72
83,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.5kg,45128.16
84,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1000 HDD,AMD Radeon R5 M430,Linux,2.2kg,31962.672
85,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256 SSD,AMD Radeon R5 M430,Linux,2.2kg,25840.8
86,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,256 SSD,Nvidia GeForce 920M,Windows 10,2kg,30742.56
87,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,AMD Radeon 530,Windows 10,1.91kg,38308.32
88,HP,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4GB,500 HDD,AMD Radeon R2,Windows 10,2.1kg,18594.72
89,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1000 HDD,AMD Radeon 520,Linux,2.2kg,34472.16
90,HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Nvidia GeForce MX150,Windows 10,1.38kg,59620.32
91,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10 S,1.252kg,71395.2
92,HP,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,256 SSD,Nvidia GeForce 940MX,Windows 10,1.58kg,35111.52
93,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Intel HD Graphics 520,Windows 10,1.85kg,22105.872
94,Asus,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Nvidia GeForce 940MX,Windows 10,1.3kg,63563.04
95,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.58kg,78854.4
96,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8GB,256 SSD,Intel Iris Plus Graphics 640,Windows 10,1.23kg,73473.12
97,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.37kg,74538.72
98,HP,Notebook,14,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4GB,500 HDD,Intel UHD Graphics 620,Windows 10,1.63kg,38468.16
99,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.21kg,86793.12
100,HP,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.26kg,74538.1872
101,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.63kg,57755.52
102,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Nvidia GeForce 920MX,Windows 10,2kg,30049.92
103,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,59567.04
104,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.1kg,25521.12
105,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Nvidia GeForce 940MX,No OS,2.2kg,33513.12
106,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512 SSD,Nvidia GeForce 930MX ,Windows 10,2.5kg,67718.88
107,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,256 SSD,AMD Radeon R5,Windows 10,2.1kg,24029.28
108,HP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500 HDD,Intel HD Graphics 400,No OS,1.86kg,13799.52
109,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1000 HDD,Intel UHD Graphics 620,Windows 10,1.63kg,43263.36
110,Asus,Notebook,14,1366x768,AMD E-Series 6110 1.5GHz,4GB,64 SSD,AMD Radeon R2,Windows 10 S,1.65kg,14811.3072
111,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,2.5kg,49443.84
112,Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,AMD Radeon R7 M445,Windows 10,2.36kg,34045.3872
113,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1000 HDD,AMD Radeon R5 M430,Windows 10,2.2kg,23922.72
114,Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.6kg,47099.52
115,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256 SSD,Nvidia GeForce MX130,Windows 10,2.2kg,30476.16
116,HP,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.05kg,31861.44
117,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.63kg,52640.64
118,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1000 HDD,Intel HD Graphics 500,No OS,1.9kg,13445.7408
119,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1000 HDD,Nvidia GeForce 920MX,No OS,2.2kg,26586.72
120,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256 SSD,Intel HD Graphics 620,Windows 10,1.32kg,37242.72
121,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1000 HDD,Nvidia GeForce MX130,Windows 10,3kg,34898.4
122,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,AMD Radeon RX 550,Windows 10,1.75kg,59461.5456
123,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia GeForce GTX 1050M,No OS,2.4kg,46300.32
124,Toshiba,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500 HDD,Intel HD Graphics 520,Windows 10,2.1kg,32074.56
125,HP,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4GB,256 SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg,19660.32
126,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.25kg,58554.72
127,HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8GB,512 SSD,Intel HD Graphics 515,Windows 10,0.97kg,107305.92
128,Asus,Notebook,15.6,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,1000 HDD,Intel HD Graphics 500,Windows 10,2kg,18328.32
129,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Intel HD Graphics 520,Windows 10,2.1kg,23816.16
130,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512 SSD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,66560.5728
131,Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,128 SSD,Intel HD Graphics 620,Windows 10,1.9kg,26533.44
132,HP,Ultrabook,14,Full HD 1920x1080,Intel Core i5 7500U 2.7GHz,4GB,256 SSD,Intel HD Graphics 620,Windows 10,1.48kg,57648.96
133,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,6GB,256 SSD,AMD Radeon 520,Windows 10,1.91kg,32980.32
134,Lenovo,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,256 SSD,Intel HD Graphics 620,Windows 10,1.74kg,33513.12
135,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.1kg,70063.2
136,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.56kg,55890.72
137,Toshiba,Notebook,15.6,1366x768,Intel Core i3 6006U 2.2GHz,4GB,500 HDD,Intel HD Graphics 520,Windows 10,2.1kg,23816.16
138,Asus,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1000 HDD,AMD Radeon R5 M420,Windows 10,2.03kg,21471.84
139,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256 SSD,Nvidia GeForce MX150,Windows 10,3kg,42890.4
140,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,AMD Radeon 520,Windows 10,2.13kg,38787.84
141,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256 SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,57489.12
142,Acer,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1000 HDD,Intel HD Graphics 500,Windows 10,2.1kg,18541.44
143,Acer,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1000 HDD,Intel HD Graphics 505,Windows 10,2.1kg,19367.8128
144,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Nvidia GeForce MX150,Windows 10,3kg,45501.12
145,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500 HDD,Intel UHD Graphics 620,Windows 10,1.49kg,40173.12
146,Huawei,Ultrabook,13,IPS Panel Full HD 2160x1440,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.05kg,71874.72
147,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,2000 HDD,AMD Radeon 520,Windows 10,2.71kg,37242.72
148,Lenovo,Notebook,15.6,1366x768,AMD A6-Series 9220 2.9GHz,4GB,500 HDD,AMD Radeon R4 Graphics,No OS,2.2kg,16463.52
149,Toshiba,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,500 HDD,Intel HD Graphics 620,Windows 10,2kg,26053.92
150,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Nvidia GeForce 930MX,Windows 10,2.5kg,49177.44
151,Dell,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,8GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.3kg,24455.52
152,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128 SSD,Intel HD Graphics 520,Windows 10,2.1kg,23922.72
153,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.29kg,79866.72
154,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.23kg,74538.72
155,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.4kg,98514.72
156,Toshiba,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128 SSD,Intel HD Graphics 620,Windows 10,2.0kg,42251.04
157,Xiaomi,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Nvidia GeForce MX150,No OS,1.95kg,63882.72
158,Dell,Notebook,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512 SSD,Nvidia GeForce 150MX,Windows 10,2.77kg,82530.72
159,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512 SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,127712.16
